■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2025-09-06,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2025-08-29~2025-09-05???영화구분: 전체???국적: 한국???지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 05일(금),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
18,가족의 비밀,2025-09-10,"990,000",0.2%,"-4,752,000",-82.8%,"6,732,000",90,-548,-85.9%,728,1,1,한국,한국,(주)오예스,(주)스튜디오디에이치엘,12세이상관람가,"드라마,코미디",이상훈,"김혜은,김법래,김보윤,김현재,윤기원,박현우,김이온,김형묵,최홍일,안신우,장명갑,김홍표,이윤권,최원준,권훈,김나은,김신영,이서연,박관우,김진혁,최준식,김태엽,오승호,박정현,서민주,오연희,김정인,손상경,한다희,고나영,오채영,류자영,오영준,박선우,이도하,이재민,이재원,양원석,김정훈,이장현,이상민,김은정,권순상,허진석"
19,다른 것으로 알려질 뿐이지,2025-08-27,"945,500",0.2%,"-731,000",-43.6%,"25,382,950",88,-69,-43.9%,"2,497",17,17,한국,한국,(주)보더리스필름,영화로운 형제,15세이상관람가,"드라마,멜로/로맨스",조희영,"공민정,정보람,정회린,감동환,류세일,유의태"
20,여름이 지나가면,2025-07-09,"735,500",0.1%,"195,000",36.1%,"92,869,800",69,13,23.2%,"10,176",16,16,한국,한국,㈜스튜디오 하이파이브,(주)엣나인필름,15세이상관람가,드라마,장병기,"이재준,최현진,최우록,고서희,강길우"
21,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,"364,000",0.1%,"-2,173,500",-85.7%,"2,063,405,330",67,-298,-81.6%,"224,424",2,2,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,변희선,"조경이,엠머슨브룩김,이현경,김해나,강은애"
22,비밀일 수밖에,2025-09-10,"548,000",0.1%,"-352,000",-39.1%,"13,246,500",50,-50,-50.0%,"1,324",1,1,한국,한국,"(주)에이디사공육,주식회사 슈아픽처스","주식회사 슈아픽처스,(주)에이디사공육",12세이상관람가,"드라마,코미디",김대환,"장영남,류경수,스테파니 리,옥지영,박지일,박지아"
22,"부정선거, 신의 작품인가 감독판",,"600,000",0.1%,"-1,200,000",-66.7%,"2,400,000",50,-130,-72.2%,230,1,1,한국,한국,,루디아코프,12세이상관람가,다큐멘터리,,
24,THE 자연인,2025-08-20,"391,000",0.1%,"251,000",179.3%,"16,855,800",49,31,172.2%,"1,930",8,8,한국,한국,스톤워크,스톤워크,12세이상관람가,"코미디,미스터리",노영석,"변재신,정용훈,신운섭,이란희"
25,제17회 대단한 단편영화제 단편경쟁 2,,"368,000",0.1%,"368,000",100.0%,"368,000",46,46,100.0%,46,1,1,한국,한국,,,,"드라마,코미디,다큐멘터리",,
26,헤어질 결심,2022-06-29,"340,000",0.1%,"146,000",75.3%,"19,787,247,678",34,14,70.0%,"1,909,055",1,1,한국,한국,모호필름,(주)씨제이이엔엠,15세이상관람가,"미스터리,멜로/로맨스",박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현"
27,대비상망,1975-06-06,"54,000",0.0%,"-38,000",-41.3%,"484,000",27,-19,-41.3%,242,1,4,한국,한국,남아진흥,(주)프리즘웍스,15세이상관람가,액션,전우열,"한용철,오경아"
28,성적표의 김민영,2022-09-08,"209,000",0.0%,"209,000",100.0%,"75,528,161",24,24,100.0%,"8,000",1,1,한국,한국,탁구필름,(주)엣나인필름,전체관람가,드라마,"이재은,임지선","김주아,윤아정,손다현,임종민,심이안,조형일"
29,야당: 익스텐디드 컷,2025-08-06,"167,000",0.0%,"148,000",778.9%,"244,807,020",18,15,500.0%,"27,295",3,3,한국,한국,(주)하이브미디어코프,메가박스중앙(주) 플러스엠 엔터테인먼트,청소년관람불가,"범죄,액션",황병국,"강하늘,유해진,박해준,류경수,채원빈"
